XP1,XP2,XP3,XP4,XP5
19898.89,11752.86,7419.43,3979.78,4574.77
19769.76,11465.59,7309.95,3953.95,4540.24
19711.12,11659.55,7382.86,3942.22,4374.61
19721.74,11778.36,7426.45,3944.35,4451.39
19596.57,11799.11,7433.9,3919.31,4504.06
19700.72,12035.37,7514.61,3940.14,4437.68
19419.64,11779.37,7430.77,3883.93,4306.84
19469.67,11801.31,7437.75,3893.93,4263.29
19204.94,11347.03,7295.6,3840.99,4324.36
19145.72,11638.63,7388.82,3829.14,4361.13
19051.58,11486.51,7339.76,3810.32,4355.43
18937.56,11276.23,7272.36,3787.51,4229.59
18925.88,11129.52,7226.03,3785.18,4314.91
18551.52,10935.27,7165.07,3710.3,4387.89
18798.77,10609.96,7063.15,3759.75,4446.94
18423.16,10470.59,7019.25,3684.63,4387.67
18331.79,10447.15,7012.06,3666.36,4432.95
18079.16,10597.17,7057.52,3615.83,4378.43
17895.02,10660.67,7076.59,3579,4344.04
18382.29,10476.39,7022.17,3676.46,4244.18
18386.14,10388.86,6996.7,3677.23,4275.29
18107.55,10666.85,7075.06,3621.51,4237.44
17721.48,10722.29,7090.08,3544.3,4309.38
17820.65,10559.24,7047.81,3564.13,4376.02
17817.19,10918.21,7136.76,3563.44,4323.86
17757.45,10992.86,7154.22,3551.49,4436.99
17565.28,11122.54,7183.82,3513.06,4525.39
17289.58,11266.58,7215.7,3457.92,4494.95
17093.71,11297.14,7222.07,3418.74,4538.7
17256.71,11306.08,7223.84,3451.34,4463.54
17150.41,11172.85,7198.87,3430.08,4397.86
16912.11,10978,7163.78,3382.42,4200.1
17236.28,11353.28,7230.33,3447.26,4310.76
17308.58,11240.87,7211.26,3461.72,4342.21
17269.63,11388.38,7236.31,3453.93,4386.17
17463.03,11563,7265.32,3492.61,4305.38
17632.26,11870.19,7316.09,3526.45,4187.85
17512.67,12289.88,7385.09,3502.53,4274.21
17825.87,12456.04,7412.89,3565.17,4128.69
17792.26,12727.76,7459.84,3558.45,4130.09
17581.74,12464.08,7413.69,3516.35,4072.23
17560.78,12615.06,7441.42,3512.16,4055.47
17588.38,12851.74,7485.83,3517.68,4035.99
17894.19,12905.61,7495.8,3578.84,4151.63
17908.47,12818.51,7479.29,3581.69,4112.43
17969.55,12868.25,7488.83,3593.91,4069.65
17958.24,12731.3,7462.4,3591.65,3907.62
17899.22,12617.36,7439.33,3579.84,4034.58
17892.29,12899.4,7498.3,3578.46,4039.99
18073.72,13358.67,7596.76,3614.74,4008.25
18546.76,12940.06,7508.05,3709.35,4052.51
18811.77,12548.5,7420.8,3762.35,3992.84
19100.72,12323.64,7367.89,3820.14,3913.2
18801.93,12384.5,7382.63,3760.39,3847.8
19098.18,12247.98,7349.84,3819.64,3852.44
19165.46,12321.54,7366.85,3833.09,3873.03
18727.95,12361.98,7376.11,3745.59,3778.58
18871.57,12282.37,7358.33,3774.31,3882.12
18823.67,12184.63,7336.59,3764.73,3848.38
19368.63,11973.94,7290.17,3873.73,3866.78
19065.74,12074.95,7311.92,3813.15,3887.09
18904.36,12429.49,7384.57,3780.87,3898.58
18484.24,12360.93,7371.15,3696.85,3890.44
18412.92,12151.27,7331.17,3682.58,3861.96
18591.01,12044.73,7311.45,3718.2,3861.94
18283.1,12149.82,7330.39,3656.62,3886.44
18588.47,12269.5,7351.27,3717.69,3837.14
18083.3,12728.45,7427.96,3616.66,3823.79
17732.7,12482.13,7388.61,3546.54,3800.3
18188.5,12492.83,7390.32,3637.7,3767.21
17859.74,12462.36,7385.5,3571.95,3831.28
17984.52,12283.49,7358.3,3596.9,3778.1
17885.99,12176.11,7342.71,3577.2,3859.01
17985.4,11940.56,7309.24,3597.08,3915.17
18341.75,11987,7315.87,3668.35,3842.09
18762.65,12192.5,7344.67,3752.53,3829.95
18687.58,11881.91,7301.42,3737.52,3881.31
18262.74,11791.73,7288.58,3652.55,3843.15
18761.75,12084.16,7331.16,3752.35,3926.77
18914.78,11744,7281.56,3782.96,3797.51
19039.4,12022.64,7323.84,3807.88,3825.31
19036.31,11744.16,7282.38,3807.26,3877.93
19164.65,11528.32,7249.6,3832.93,3885.9
19116.23,11457.88,7238.71,3823.25,3874.49
19222.03,11295.34,7212.94,3844.41,3864.97
19105.4,11454.06,7238.43,3821.08,3854.84
18699.01,11366.65,7224.33,3739.8,3946.62
18977.03,11494.87,7245.19,3795.41,4027.05
19471.91,11366.79,7224.49,3894.38,3971.01
19358.81,11437.39,7236.35,3871.76,3970.58
18843.57,11807.3,7300.12,3768.71,3901.97
19090.06,12124.95,7355.16,3818.01,3908.42
