"YYYYMM","ShadowRate","TermPremium-2Y","TermPremium-5Y","TermPremium-7Y","TermPremium-10Y","TermPremium-15Y","TermPremium-20Y","ExpectedRate-2Y","ExpectedRate-5Y","ExpectedRate-7Y","ExpectedRate-10Y","ExpectedRate-15Y","ExpectedRate-20Y"
201807,-2.2628,-0.0272,-0.017,-0.0087,-0.0187,-0.0523,-0.0992,-0.1,-0.0878,-0.0464,0.0706,0.3377,0.6156
201808,-2.2188,-0.0159,0.0119,0.0374,0.0292,0.015,-0.0143,-0.1,-0.0864,-0.0428,0.0773,0.3472,0.6258
201809,-2.187,-0.0117,0.0233,0.0415,0.0431,0.0276,-0.0052,-0.1,-0.0855,-0.0403,0.0819,0.3534,0.6323
201810,-2.1716,-0.0181,0.0232,0.0426,0.0571,0.0559,0.0345,-0.1,-0.0851,-0.0394,0.0833,0.355,0.6334
201811,-2.1822,-0.0368,-0.0039,0.002,0.0343,0.0315,0.0137,-0.1,-0.0856,-0.041,0.0798,0.349,0.6262
201812,-2.2156,-0.0425,-0.0423,-0.0692,-0.0199,-0.0193,-0.0526,-0.1,-0.087,-0.0448,0.072,0.3367,0.6117
201901,-2.2582,-0.0619,-0.0701,-0.1038,-0.0559,-0.0667,-0.1163,-0.1,-0.0885,-0.0493,0.0627,0.322,0.5944
201902,-2.2994,-0.07,-0.0799,-0.114,-0.0723,-0.0947,-0.155,-0.1,-0.0898,-0.0533,0.0541,0.3079,0.5777
201903,-2.3353,-0.0604,-0.0782,-0.1172,-0.0807,-0.0996,-0.1619,-0.1,-0.0909,-0.0567,0.0466,0.2954,0.5627
201904,-2.3678,-0.058,-0.0725,-0.1021,-0.0796,-0.1039,-0.1727,-0.1,-0.0918,-0.0597,0.0399,0.284,0.5488
201905,-2.3987,-0.0602,-0.0802,-0.1054,-0.0905,-0.1173,-0.1869,-0.1,-0.0926,-0.0624,0.0336,0.2731,0.5356
201906,-2.4273,-0.1092,-0.1482,-0.1726,-0.154,-0.1852,-0.2766,-0.1,-0.0933,-0.0648,0.0279,0.263,0.5231
201907,-2.4416,-0.1051,-0.1439,-0.1775,-0.1688,-0.1988,-0.2874,-0.1,-0.0936,-0.0662,0.0244,0.2566,0.5149
201908,-2.4423,-0.1746,-0.2264,-0.274,-0.2503,-0.2981,-0.4053,-0.1,-0.0937,-0.0667,0.023,0.2534,0.5106
201909,-2.4161,-0.2001,-0.2453,-0.284,-0.2499,-0.2748,-0.3669,-0.1,-0.0934,-0.0655,0.0254,0.2569,0.5141
201910,-2.3706,-0.1754,-0.213,-0.2465,-0.1954,-0.2043,-0.2939,-0.1,-0.0926,-0.0629,0.0308,0.2652,0.5234
201911,-2.3162,-0.1003,-0.1164,-0.15,-0.1231,-0.1621,-0.2643,-0.1,-0.0915,-0.0596,0.0379,0.276,0.5354
201912,-2.2587,-0.0266,-0.0281,-0.0613,-0.0559,-0.1271,-0.2569,-0.1,-0.0902,-0.0557,0.0458,0.288,0.5488
202001,-2.2016,-0.0331,-0.0308,-0.0665,-0.0703,-0.1574,-0.2831,-0.1,-0.0887,-0.0515,0.054,0.3001,0.5622
202002,-2.1427,-0.0659,-0.0783,-0.1273,-0.1191,-0.2011,-0.3397,-0.1,-0.087,-0.0469,0.0629,0.3132,0.5765
202003,-2.0769,-0.1227,-0.08,-0.1512,-0.0924,-0.1381,-0.337,-0.1,-0.0848,-0.0412,0.0736,0.3286,0.5934
202004,-2.0092,-0.053,-0.0402,-0.0969,-0.0866,-0.1194,-0.2925,-0.1,-0.0821,-0.0347,0.0853,0.345,0.6114
202005,-1.9439,-0.0679,-0.0486,-0.0948,-0.0946,-0.1467,-0.2925,-0.0999,-0.0792,-0.0279,0.0971,0.3613,0.629
202006,-1.8795,-0.0587,-0.0314,-0.0766,-0.084,-0.132,-0.2596,-0.0999,-0.076,-0.0207,0.1094,0.3779,0.6467
202007,-1.8195,-0.0403,-0.037,-0.0952,-0.0959,-0.1378,-0.2453,-0.0998,-0.0725,-0.0135,0.1212,0.3935,0.6633
202008,-1.7646,-0.0207,-0.0201,-0.079,-0.0941,-0.1386,-0.2644,-0.0998,-0.0691,-0.0065,0.1324,0.4079,0.6784
202009,-1.715,-0.0376,-0.0327,-0.0923,-0.1098,-0.1571,-0.2839,-0.0997,-0.0657,2e-04,0.1427,0.421,0.6919
202010,-1.669,-0.0348,-0.0424,-0.102,-0.1227,-0.177,-0.2943,-0.0996,-0.0623,0.0066,0.1525,0.4331,0.7045
202011,-1.6247,-0.0426,-0.0507,-0.1131,-0.1328,-0.2056,-0.318,-0.0995,-0.0588,0.0131,0.1621,0.445,0.7165
202012,-1.5789,-0.0346,-0.0583,-0.1211,-0.1486,-0.2382,-0.3379,-0.0993,-0.0548,0.0202,0.1725,0.4576,0.7294
202101,-1.5283,-0.0295,-0.0594,-0.116,-0.1476,-0.2238,-0.313,-0.0991,-0.05,0.0287,0.1846,0.4722,0.7443
202102,-1.4767,-0.0241,-0.0429,-0.0788,-0.1066,-0.1754,-0.272,-0.0988,-0.0446,0.0378,0.1975,0.4876,0.7599
202103,-1.4334,-0.0327,-0.0412,-0.0739,-0.0974,-0.1857,-0.2859,-0.0985,-0.0398,0.0457,0.2083,0.5002,0.7726
202104,-1.3985,-0.0312,-0.0576,-0.0931,-0.1229,-0.2168,-0.3181,-0.0982,-0.0358,0.0521,0.2169,0.51,0.7822
202105,-1.3674,-0.0319,-0.0608,-0.1031,-0.1405,-0.2421,-0.3408,-0.0979,-0.0321,0.0579,0.2245,0.5185,0.7904
202106,-1.3368,-0.0233,-0.0701,-0.1294,-0.1644,-0.2638,-0.3541,-0.0976,-0.0282,0.0637,0.2322,0.527,0.7986
202107,-1.3038,-0.027,-0.0976,-0.1871,-0.2156,-0.3177,-0.3996,-0.0971,-0.0238,0.0704,0.2408,0.5365,0.808
202108,-1.2579,-0.0383,-0.1075,-0.1993,-0.232,-0.339,-0.421,-0.0964,-0.0171,0.0806,0.254,0.5514,0.8227
202109,-1.1973,-0.0315,-0.0901,-0.171,-0.2185,-0.3269,-0.4105,-0.0952,-0.0072,0.0951,0.2727,0.5725,0.8438
202110,-1.1277,-0.0214,-0.0815,-0.1522,-0.2088,-0.3166,-0.3996,-0.0934,0.0054,0.1132,0.2956,0.5981,0.8692
202111,-1.0538,-0.0295,-0.1045,-0.1987,-0.2432,-0.3454,-0.4312,-0.0907,0.0204,0.134,0.3213,0.6265,0.8973
202112,-0.9702,-0.0211,-0.1325,-0.2497,-0.2866,-0.3861,-0.4674,-0.0866,0.0396,0.1597,0.3523,0.6602,0.9306
202201,-0.8701,0.0059,-0.0978,-0.1937,-0.2523,-0.3566,-0.4472,-0.0797,0.0659,0.1937,0.3924,0.7031,0.9726
202202,-0.7647,0.0378,-0.0718,-0.1669,-0.2302,-0.2932,-0.3765,-0.0693,0.098,0.2335,0.4378,0.7508,1.019
202203,-0.6718,0.0266,-0.1016,-0.2049,-0.2742,-0.3234,-0.3826,-0.0566,0.1301,0.2718,0.4804,0.7946,1.0612
202204,-0.5889,-0.0136,-0.1354,-0.1757,-0.2828,-0.3359,-0.3473,-0.0417,0.1622,0.3089,0.5207,0.8354,1.1002
202205,-0.5228,-0.0305,-0.1751,-0.2155,-0.3112,-0.3483,-0.3736,-0.027,0.1903,0.3406,0.5546,0.8693,1.1324
202206,-0.4618,-0.0568,-0.1743,-0.197,-0.3351,-0.2932,-0.3073,-0.0108,0.2185,0.3718,0.5877,0.9021,1.1636
202207,-0.4466,-0.0659,-0.2062,-0.2667,-0.3664,-0.3151,-0.2835,-0.0061,0.2266,0.381,0.5977,0.9125,1.1738
202208,-0.4637,-0.0782,-0.2189,-0.3024,-0.3848,-0.3563,-0.3453,-0.0107,0.22,0.3744,0.5916,0.9077,1.1702
202209,-0.4149,-0.0738,-0.1807,-0.2319,-0.3524,-0.2681,-0.248,0.0047,0.2455,0.4026,0.6217,0.9381,1.1996
202210,-0.3702,-0.063,-0.1795,-0.2339,-0.3934,-0.1979,-0.1464,0.0207,0.2703,0.4299,0.6505,0.9672,1.2278
202211,-0.3474,-0.0656,-0.1974,-0.2752,-0.4022,-0.1981,-0.1407,0.0299,0.2845,0.4456,0.6675,0.9849,1.2453
202212,-0.2794,-0.0594,-0.1463,-0.2059,-0.3541,-0.1544,-0.1211,0.0591,0.3246,0.4881,0.7111,1.0276,1.2858
202301,-0.2295,-0.0734,-0.1206,-0.1199,-0.2665,-0.0066,0.0098,0.0838,0.3566,0.5218,0.7456,1.0614,1.3181
202302,-0.2684,-0.1009,-0.1201,-0.1052,-0.2052,0.0037,0.008,0.0655,0.335,0.5003,0.7252,1.0435,1.3025
202303,-0.3578,-0.0788,-0.1348,-0.1877,-0.2716,-0.135,-0.1227,0.028,0.2855,0.449,0.6741,0.9955,1.2585
202304,-0.4026,-0.0527,-0.1019,-0.1573,-0.1834,-0.1219,-0.1318,0.012,0.2626,0.4249,0.6499,0.9727,1.2376
202305,-0.4654,-0.0462,-0.1172,-0.1863,-0.1978,-0.1801,-0.1879,-0.0076,0.2323,0.3925,0.6169,0.9414,1.2088
202306,-0.4925,-0.0535,-0.1308,-0.1897,-0.1813,-0.1767,-0.1889,-0.015,0.2207,0.3802,0.6047,0.9303,1.199
202307,-0.4413,-0.0392,-0.1265,-0.158,-0.1706,-0.1414,-0.1495,3e-04,0.2466,0.4089,0.6351,0.9608,1.2283
202308,-0.3269,-0.0248,-0.082,-0.0784,-0.0642,0.0043,0.0267,0.0421,0.3083,0.4751,0.7033,1.0273,1.291
202309,-0.2629,-0.0425,-0.0583,-0.066,-0.0317,0.0364,0.0743,0.0711,0.347,0.5158,0.7448,1.0676,1.329
202310,-0.1981,-0.0321,-0.0264,-0.0078,0.0337,0.1439,0.2055,0.1047,0.3884,0.5584,0.7874,1.1082,1.3669
202311,-0.1996,-0.0203,-0.0104,-0.0189,0.0247,0.1123,0.1672,0.1041,0.3878,0.558,0.7872,1.1083,1.3672
202312,-0.2674,-0.0138,-0.0651,-0.1038,-0.0591,0.038,0.0903,0.0695,0.3461,0.5155,0.7453,1.0691,1.3312
202401,-0.291,-0.0199,-0.0846,-0.1331,-0.0738,0.0363,0.1002,0.0586,0.3321,0.5009,0.7307,1.0553,1.3184
202402,-0.2233,0.0443,-0.0321,-0.1091,-0.0488,0.0533,0.1161,0.0911,0.372,0.5416,0.7707,1.0923,1.3521
202403,-0.2137,-0.0119,-0.0631,-0.1308,-0.0651,0.0361,0.107,0.2057,0.4465,0.6026,0.8188,1.1281,1.3807
202404,-0.1166,0.0143,-0.04,-0.0803,-0.0329,0.0818,0.1713,0.2414,0.4973,0.6563,0.8732,1.1799,1.4287
202405,-0.0037,0.044,0.0018,-0.0452,0.0356,0.1777,0.2729,0.2946,0.5634,0.7242,0.9404,1.243,1.4867
202406,0.0288,0.0218,-0.0163,-0.058,0.0479,0.2113,0.2964,0.3124,0.5837,0.7446,0.9603,1.2613,1.5034
202407,0.0669,0.0273,5e-04,-0.0177,0.0862,0.2647,0.35,0.3346,0.6077,0.7682,0.9827,1.2814,1.5212
202408,0.0149,0.0395,-0.0887,-0.1469,-0.0452,0.1388,0.2345,0.3036,0.572,0.7318,0.9464,1.2466,1.4886
202409,0.0477,0.0557,-0.0909,-0.1759,-0.0723,0.1183,0.2098,0.3215,0.5909,0.75,0.9631,1.2606,1.5003
202410,0.138,0.0421,-0.0833,-0.1679,-0.0728,0.1213,0.2273,0.3792,0.6503,0.808,1.018,1.3097,1.5439
202411,0.2612,0.0675,-0.0523,-0.1447,-0.0508,0.1374,0.2534,0.4727,0.7399,0.8941,1.0985,1.3813,1.6076
202412,0.3112,0.0775,-0.0476,-0.1405,-0.0485,0.1231,0.2367,0.5138,0.7777,0.93,1.1316,1.4102,1.6332
