"YYYYMM","ShadowRate","TermPremium-2Y","TermPremium-5Y","TermPremium-7Y","TermPremium-10Y","TermPremium-15Y","TermPremium-20Y","ExpectedRate-2Y","ExpectedRate-5Y","ExpectedRate-7Y","ExpectedRate-10Y","ExpectedRate-15Y","ExpectedRate-20Y"
200703,0.4446,0.1581,0.264,0.292,0.3506,0.3404,0.2866,0.6384,0.9076,1.0634,1.2684,1.5485,1.7693
200704,0.4937,0.1415,0.2782,0.3164,0.3725,0.3674,0.3137,0.6831,0.9474,1.1006,1.3021,1.5775,1.7944
200705,0.5501,0.1534,0.2702,0.2939,0.3394,0.3202,0.2781,0.7351,0.9942,1.1445,1.3423,1.6123,1.825
200706,0.6894,0.1549,0.3801,0.4247,0.4346,0.4109,0.3428,0.8656,1.1131,1.2569,1.4461,1.7041,1.9067
200707,0.6947,0.158,0.3684,0.406,0.4359,0.4232,0.3757,0.8702,1.1168,1.2602,1.4488,1.706,1.9081
200708,0.564,0.1654,0.2408,0.2376,0.3235,0.332,0.3119,0.7469,1.0034,1.1523,1.3484,1.6163,1.8274
200709,0.4984,0.1377,0.2036,0.2067,0.3113,0.3446,0.3459,0.6855,0.9469,1.0985,1.2982,1.5714,1.787
200710,0.5038,0.1423,0.2294,0.2333,0.3589,0.3961,0.4026,0.6903,0.951,1.1022,1.3013,1.5738,1.7889
200711,0.434,0.1344,0.1761,0.1517,0.2818,0.3459,0.3436,0.6256,0.8917,1.0458,1.2489,1.5271,1.747
200712,0.3984,0.132,0.1834,0.1744,0.3037,0.3777,0.3891,0.593,0.8621,1.0178,1.223,1.5042,1.7266
200801,0.2945,0.0866,0.1114,0.1187,0.2787,0.386,0.4092,0.4998,0.7771,0.9372,1.1485,1.4385,1.6682
200802,0.2869,0.0884,0.1569,0.1659,0.3097,0.4203,0.4217,0.4932,0.7713,0.9319,1.1438,1.4345,1.6649
200803,0.2197,0.1203,0.0504,0.0068,0.2129,0.3796,0.4377,0.4347,0.7173,0.8805,1.0959,1.3919,1.6268
200804,0.3098,0.1289,0.1281,0.0776,0.2463,0.4138,0.4587,0.5143,0.7916,0.9517,1.1629,1.4524,1.6816
200805,0.4927,0.1232,0.2976,0.2874,0.3764,0.49,0.4638,0.6819,0.9459,1.0988,1.3002,1.5753,1.7922
200806,0.5599,0.1389,0.3496,0.3327,0.4019,0.5016,0.4797,0.7447,1.0036,1.1537,1.3513,1.621,1.8332
200807,0.4623,0.1361,0.2585,0.2211,0.3341,0.4392,0.4502,0.6538,0.9204,1.0748,1.278,1.5558,1.7748
200808,0.3696,0.1365,0.1892,0.0964,0.2612,0.3863,0.4068,0.5685,0.8419,1,1.2083,1.4934,1.7187
200809,0.3843,0.1731,0.2232,0.1345,0.2671,0.3814,0.3843,0.5818,0.8541,1.0115,1.2189,1.5027,1.727
200810,0.3468,0.1827,0.2197,0.1582,0.3113,0.465,0.4092,0.5486,0.8247,0.9843,1.1944,1.4821,1.7094
200811,0.2082,0.1238,0.1822,0.1141,0.3697,0.5673,0.4921,0.4414,0.726,0.8903,1.1074,1.4057,1.642
200812,0.0879,0.1378,0.1764,0.0725,0.2888,0.4914,0.4131,0.3554,0.6414,0.8086,1.0308,1.3378,1.5818
200901,-0.0399,0.091,0.1492,0.0978,0.3023,0.4263,0.3458,0.2833,0.562,0.7301,0.9562,1.271,1.5226
200902,-0.0876,0.1354,0.2073,0.1493,0.3721,0.5,0.3888,0.2619,0.5377,0.7067,0.935,1.254,1.509
200903,-0.1241,0.156,0.2315,0.1993,0.3783,0.4958,0.4094,0.2474,0.5212,0.6912,0.9218,1.2444,1.5024
200904,-0.1205,0.1636,0.3151,0.3552,0.4975,0.6164,0.5416,0.2506,0.5285,0.7006,0.9336,1.259,1.5185
200905,-0.1866,0.1451,0.3338,0.4154,0.5449,0.636,0.5851,0.2259,0.4972,0.6697,0.9052,1.2355,1.4995
200906,-0.2803,0.1537,0.3514,0.4511,0.6056,0.7004,0.6628,0.1962,0.4543,0.6256,0.8627,1.1983,1.4676
200907,-0.4428,0.1058,0.3044,0.3749,0.5664,0.6969,0.6605,0.1578,0.3859,0.5514,0.7874,1.1283,1.4047
200908,-0.5456,0.1161,0.3468,0.45,0.6434,0.7616,0.7488,0.1412,0.3498,0.5113,0.7465,1.0907,1.3717
200909,-0.6835,0.0978,0.2957,0.4088,0.6243,0.744,0.7341,0.1252,0.306,0.4599,0.6916,1.0379,1.3237
200910,-0.7578,0.1311,0.3451,0.4632,0.6667,0.7987,0.7777,0.1192,0.2866,0.437,0.6675,1.0158,1.3048
200911,-0.8455,0.1347,0.3768,0.5192,0.7279,0.8418,0.8058,0.1137,0.2652,0.4108,0.639,0.9889,1.281
