XP1,XP2,XP3
5110.18,6533.27,2774.34
5295.09,6657.45,2860.67
5297.85,6661.67,2850.65
5217.24,6574.81,2825.14
5182.07,6550.6,2810.78
5257.03,6495.08,2824.08
5293.02,6492.68,2867.04
5319.6,6528.04,2905.72
5507.84,6571.8,3015.4
5429.59,6583.64,2973.04
5493.38,6539.49,3019.42
5424.52,6578.15,2986.84
5463.5,6642.24,3001.85
5363.11,6758.85,2940.33
5742.48,6725.69,3133.13
5670.3,6754.7,3103.34
5609.11,6822.51,3093.69
5580.32,6815.65,3087.36
5717.78,6843.9,3154.78
5491.15,6854.91,3052.54
5455.47,6848.41,3025.44
5504.74,6856.15,3034.72
5511.47,6898.84,3057.29
5594.03,6917.76,3109.89
5832.21,6896.69,3246.57
5830.4,6797.52,3230.71
5961.78,6752.34,3283.54
6261.04,6751.25,3445.73
6126.2,6624.35,3401.14
6153.91,6772.35,3431.21
6164.03,6646.28,3426.21
6154.76,6545.27,3456.33
6009.64,6667.7,3389.43
5962.25,6473.04,3397.08
5958.2,6550.51,3395.66
6113.65,6517.46,3514.53
6064.25,6555.56,3482.69
5898.52,6621.24,3376.79
5875.19,6552.83,3340.97
5716.55,6504.91,3271.99
5761.62,6316.75,3312.78
5601.15,6230.74,3200.81
5747.25,6262.37,3298.88
5857.55,6299.62,3375.4
5896.51,6435,3373.15
6061.5,6440.22,3484.12
5931,6473.02,3397.86
6097.54,6477.82,3507.38
5996.13,6449.81,3446.05
5982.03,6489.65,3449.54
5659.53,6513.63,3255.24
5605.42,6519.97,3226.08
5483.79,6482.51,3155.28
5424.59,6480.68,3122.7
5371.4,6514.57,3081.49
5284.77,6544.28,3033
5355.79,6523.11,3073.15
5510.95,6494.48,3172.05
5434.75,6516.32,3131.56
5224.35,6560.51,2991.71
5349.33,6565.91,3104.42
5396.8,6552.51,3135.59
5360.71,6515.87,3117.65
5552.88,6497.97,3233.77
5292.03,6436.15,3122.48
5479.44,6403.67,3250.71
5663.82,6455.31,3377.25
5544.96,6508.6,3307.76
5577.53,6465.14,3324.81
5523.54,6475.5,3266.44
5405.48,6478.71,3210.47
5486.99,6405.93,3247.62
5311.3,6446.46,3151.58
5099.61,6352.07,3041.9
5011.98,6279.83,2999.86
5132.05,6338.51,3072.95
4871.43,6307.01,2912.7
4870.34,6295.37,2928.64
4969.14,6215.3,2990.12
5082.33,6136.02,3054.7
5247.87,6156.27,3167.48
5107.32,6147.06,3069.44
5129.48,6118.46,3096.76
5223.53,6057.09,3147.43
5283.91,6003.64,3185.88
5372.67,6103.66,3233.43
5546.02,6083.88,3330.54
5609.16,6126.14,3366.65
5709.33,6167.4,3427.97
5759.87,6206.31,3479.18
