XP1,XP2,XP3
14563.56,8186.93,9882.1
14198.26,8250.53,9670.13
14785.37,8349.54,10078.03
14727.32,8327.18,10085.66
14771.85,8243.85,10143.19
14354.93,8288.04,9900.3
14180.26,8285.1,9775.74
14105.61,8179.42,9719.35
13635.57,8179.56,9353.09
13982.82,8139.42,9621.94
14159.25,8118.64,9777.42
13951.71,8052.11,9702.44
14399.45,8160,10122.77
14393.68,8136.51,10263.99
14101.4,8031.88,10007.44
13957.14,8046.02,9930.43
13295.25,8063.26,9531.61
13639.6,8003.2,9761.31
13452.68,7826.71,9649.53
13457.81,7770.95,9640.05
13367.84,7816.21,9573.53
13878.37,7811.83,10011.44
13347.31,7805.34,9706.74
13341.39,7839.32,9695.13
13349.95,7770.32,9637.69
13349.52,7836.42,9681.43
13204.82,7836.08,9643.75
13073.38,7876.84,9594.11
13122.3,7935.52,9659.16
12821.14,7948.64,9412.11
13290.85,7899.91,9675.07
13170.01,7964.68,9584.74
13792.92,7846.67,10005.5
13575.4,7808.11,9871.86
13548.58,7791.34,9815.8
12930.68,7781.31,9340.11
13206.11,7838.74,9529.49
12693.79,7846.64,9113.27
11671.81,7868.89,8342.07
11171.58,7865.21,8024.89
11074.71,7852.64,7973.41
10939.32,7886.98,7889.49
10733.85,7944.54,7711.64
10519.47,7814.54,7573.21
11078.25,7855.22,8000.54
11071.55,7880.18,8005.68
11124.79,7853.83,8026.31
10869.09,7909.21,7835.21
10365.36,7886.18,7447.89
11247.7,7870.26,8129.68
11668.02,7915.98,8462.46
12050.69,8009.5,8707.18
12252.06,8026.8,8872.59
11988.76,8001.56,8642.64
12006.04,7934.07,8617.64
11644.98,7914.43,8398.69
12162.44,7861.81,8753.24
12492.99,7847.18,8944.69
12626.23,7868.32,9112.07
12547.57,7823.98,8971.65
12112.39,7963.64,8675.98
12168.82,7975.4,8787.23
13105.16,8052.43,9443.36
13528.56,7892.67,9744.4
13878.03,7957.17,10097.11
14553.94,7849.77,10506.3
15195.58,7925.82,10989.89
16339.12,7957.64,11804.04
16787.13,7927.99,12171.82
15844.69,8016.22,11453.55
15479.32,7966.57,11140.4
15562.34,7927.77,11196.15
15264.7,7864.87,10917.47
15349.08,7823.02,10981.48
15591.1,7879.64,11134.38
15502.72,7905.87,11087.96
16015.18,7963.66,11533.35
15650.27,7940.61,11334.73
16508.02,7961.7,11936.03
15894.06,7974.87,11372.42
15887.73,7900.68,11352.28
14880.39,8002.74,10590.27
14890.17,8011.87,10569.46
14761.21,8059.61,10468.21
14297.13,8118.1,10176.59
13239.59,8114.96,9417.91
12921.07,8097.27,9235.77
13168.51,8146.51,9461.32
13038.72,8087.42,9364.52
13063.59,8201.79,9321.08
12891.36,8174.36,9196.61
12712.84,8283.28,9132.01
12231.87,8396.75,8787.9
12928.62,8403.56,9315.99
12815.68,8445.39,9220.01
12397.13,8374.24,8836.59
12858.32,8396.54,9152.67
13279.61,8463.65,9510.75
13840.41,8470.18,9835.01
14677.7,8442.3,10374.54
13266.88,8403.78,9383.15
13625.51,8401.71,9623.46
14273.16,8460.55,10052.48
14501.29,8432.37,10234.01
13816.87,8425.53,9756.19
13619.8,8355.3,9607.76
12840.45,8384.35,9006.72
12279.05,8459.07,8546.91
11954.62,8552.5,8341.75
13024.45,8609.27,9037.45
13073.98,8481.41,9004.81
13497.15,8519.6,9261.43
13152.52,8553.05,8989.2
13234.56,8528.84,9140.33
12922.87,8539.73,8936.95
12437.74,8487.8,8567.46
12154.49,8528.66,8393.01
12459.54,8509.2,8599.96
12323.52,8419.81,8418.88
12732.23,8396.26,8686.77
12824.64,8478.65,8710.11
12801.14,8456.58,8747.9
12398.88,8501.89,8428.69
11911.31,8559.78,7995.38
12320.1,8560.06,8258.54
12367.97,8539.33,8268.06
12847.34,8509.35,8488.53
12450.04,8550.43,8259.32
11985.6,8490.58,8010.3
11320.17,8505.01,7588.86
10673.73,8488.72,7185.7
10346.02,8365.29,6910.46
10757.29,8266.3,7183.07
11242.25,8334.19,7522.17
11313.69,8320.26,7530.1
11362.73,8373.68,7556.66
11584.68,8497.04,7726.17
11780.47,8612.63,7849.47
11753.06,8670.2,7859.07
11231.74,8700.55,7474.88
11532.47,8686.39,7657.15
11410.01,8792.8,7558.43
11278.03,8838.11,2546.44
11095.53,8753.67,7305.31
10447.37,8742.26,6808.48
10119.17,8613.06,6630.75
10876.25,8597.63,7130.06
10955.98,8411.85,7240.12
10064.5,8537.23,6644.01
10042.36,8474.56,6663.17
10066.21,8436.09,6663.15
10329.2,8422.46,6829.89
10107.25,8466.87,6654.11
10214.78,8513.56,6793.19
10443.06,8551.27,6938.73
11198.42,8514.79,7391.03
11579.29,8431.41,7663.45
10907.95,8405.91,7264.22
11321.01,8423.04,7524.2
11527.71,8374.89,7651.77
11400.27,8370.87,7586.82
11738.45,8305.96,7765.02
11315.84,8305.48,7468.82
11539.38,8312.65,7601.25
11653.32,8304.83,7646.06
12021.16,8296.31,7858.81
11307.93,8386.04,7392.35
10707,8432.98,7014.67
11588.69,8500.83,7557.48
11769.58,8441.89,7710.78
12076.05,8452.34,7911.64
11946.6,8521.3,7830.36
12071.32,8517.73,7888.75
11058.57,8391.45,7247.82
11465.39,8416.83,7552.99
10964.06,8287.36,7180.28
10868.69,8223.19,7177.01
10555.38,8322.25,6999
10642.2,8370.78,7079.44
10264.67,8451.44,6857.79
10025.66,8474.39,6706.23
10116.09,8466.8,6759.24
10251.6,8408.06,6823.43
10477.98,8508.88,6996.95
10088.55,8512.11,6710.67
9840.19,8465,6569.68
10146.11,8520.06,6764.14
10035.52,8588.51,6718.1
10424.81,8713.36,6951.62
10207.2,8665.53,6774.67
10628.13,8636.69,7086.09
11140.69,8608.28,7455.44
11432.3,8584.23,7586.74
11649.5,8562,7699.01
12270.86,8544.84,8068.06
12229.05,8625.4,8027.34
11631.43,8581.49,7708.34
11527.71,8557.66,7649.21
10736.44,8595.94,7061.77
10965.14,8661.43,7214.52
11027.91,8613.75,7281.61
11071.25,8582.77,7259.72
11285.37,8613.58,7411.8
10923.24,8672.3,7152.18
11038.43,8657.15,7199.3
10976.39,8574.74,7132.42
10659.94,8683.04,6907.97
10040.59,8788.89,6495.7
10264.46,8732.08,6690.77
10227.81,8727.18,6709.24
10740.37,8606.27,7019.45
10439.76,8650.72,6876.72
10816.5,8768.7,7156.91
10924,8634.04,7227.26
10650.2,8564.43,7035.92
10637.13,8511.01,7035.67
11004.41,8458.49,7276.4
11189.16,8311.39,7450.53
11064.17,8354.37,7299.25
11029.06,8233.9,7281.44
11137.11,8231.81,7364.63
11396.15,8276.09,7586.61
10849.48,8262.17,7180.19
11064.72,8319.63,7251.55
10806.94,8317.97,7022.91
11288.22,8279.18,7306.85
10782.54,8316.85,6992.47
10557.87,8291.91,6842.21
11099.46,8390.3,7192.18
11316.7,8389.09,7338.02
11233.98,8441.54,7317.44
11442.9,8454.2,7431.86
11041.77,8278.42,7215.74
10649.42,8160.74,6945.54
10364.11,8123.44,6756.84
10281.26,8142.13,6701.89
10129.31,7974.88,6614.25
9741.04,8061.35,6373.28
10330.18,8008.73,6722.7
10079.33,7949.03,6518.88
10001.93,7833.73,6475.22
10342.39,7718.46,6673.09
10037.04,7723.11,6512.76
9682.94,7760.42,6287.58
9414.88,7618.04,6111.26
9566.42,7536.34,6203.49
9467.5,7578.12,6121.24
9461.14,7545.63,6125.76
9432.96,7687.55,6148.97
9513.66,7790.65,6226.73
9727.43,7841.06,6337.61
9717.42,7841.44,6331.78
9335.33,7860.95,6104.75
9173.46,7815.73,6022.35
9130.82,7854.2,5985.67
9442.85,7941.71,6231.15
9377,8012.81,6179.23
9335.67,7958.36,6177.46
9231.74,7853.85,6083.52
9218.31,7846.06,6059.91
8885.2,7874.48,5896.11
9315.9,7956.34,6145.49
9345.73,7870.04,6167.01
9451.05,7894.88,6225.4
9842.49,7909.63,6454.68
9775.01,7979.87,6413.24
9760.51,7978.14,6362.06
9754.77,7957.5,6357.16
10333.7,7894.49,6751.85
10304.89,7864.81,6735.18
10352.12,7844.86,6774.63
10277.03,7968.99,6751.06
10505.47,8142.57,6913.15
10893.11,8126.71,7141.75
10434.38,8039.29,6801.91
10483.58,7879.32,6792.28
10053.42,7927.4,6514.22
10334.96,7835.09,6727.52
10697.2,8022.96,6933.32
10686.11,7929.41,6916.21
10563.47,7940.26,6867.03
10934.61,8266.8,7073.06
10594.26,8096.47,6876.21
10346.02,8140.69,6717.84
10778.99,8002.5,6985.85
11057.95,8043.56,7148.47
10913.23,7952.94,7061.03
10849.98,7960.35,7039.44
10674.65,7935.34,6910.49
10476.5,7846.32,6787.09
10758.3,7847.16,6999.75
10535.3,7914.22,6850.82
9976.37,8021.96,6507.07
9717.2,7918.16,6319.26
9561.35,7898.66,6202.82
9235.05,7980.08,5994.36
8757.67,7899.92,5689.75
8652.59,7719.03,5576.78
9191.58,7631.72,5910.26
9606.36,7547.1,6165.18
9783.64,7551.03,6246.49
9444.01,7521.42,6019.92
9157.26,7536.83,5860.79
9085.4,7511.07,5792.62
9394.75,7532.39,6002.81
9560.03,7512.61,6079.4
8915.84,7573.96,5614.81
9179.73,7533.32,5820.57
9439,7549.02,5992.62
9422.81,7503.4,5962.34
9212.09,7514.23,5874.26
8670.51,7511.85,5531.67
8753.5,7431.01,5611.9
8102.67,7423,5178.95
8318.07,7484.53,5332.36
8361.41,7522.3,5356.81
8172.37,7530.08,5186.36
8015.17,7468.72,5063.51
8105.49,7532.09,5107.01
8114.02,7536.62,5121.53
8435.55,7512.44,5320.51
8451,7596.86,5314.7
8412.13,7550.93,5275.64
8258.44,7568.48,5148.42
7942.48,7638.36,4915.11
7775.24,7673.73,4804.82
7736.61,7656.32,4757.96
7635.98,7633.9,4687.13
7507.49,7652.2,4625.57
7847.18,7677.89,4825.97
8206.27,7678.82,5051.8
8383.51,7742.16,5217.14
8367.29,7738.64,5207.44
8183.92,7702.96,5109.22
7936.2,7730.27,4983.94
7867.23,7619.49,4946.76
7541.46,7644.56,4683.18
7535.41,7674.22,4654.29
7873.91,7661.43,4921.36
7641.24,7601.6,4746.86
7642.2,7579.67,4759.25
7632.24,7661.56,4764.59
7483.09,7616.88,4690.87
7455.77,7481.42,4712.98
7487.42,7541.63,4771.73
7743.24,7506.08,4941.16
7965.29,7472.82,5129.4
7884.34,7399.25,5073.33
7862.55,7397.85,5060.95
8376.68,7437.81,5339.15
8184.87,7405.14,5209.62
8365.82,7372.73,5308.27
8371.27,7429.5,5305.99
7981.75,7416.06,2310.13
7772.94,7407.85,4907.9
7634.42,7377.21,4809.7
7587.49,7420.85,4764.59
7902.11,7371.11,4943.19
8009.1,7414.73,5042.62
8423.91,7456.65,5319.85
8911.8,7432.18,5632.91
8757.63,7474.99,5511.76
8651.02,7525.69,1678.35
8421.1,7556.32,5312.82
8317.35,7661.73,5230.52
8466.85,7533.78,5367.32
8487.31,7444.92,5413.43
8568.28,7341.1,5487.16
8456.83,7354.07,5433.23
8540.87,7463.5,5462.01
8421.44,7591.78,5335.04
8553.28,7633.68,5442.79
8917.25,7702.09,5658.37
9025.94,7691.22,5771.7
9330.34,7722.81,5993.19
9183.89,7746.46,5894.4
9261.95,7701.65,5936.47
8728.4,7684.83,5563.64
9324.03,7677.54,5913
9614.95,7749.17,6046.48
9803.47,7689.89,6155.23
9706.4,7567.27,6146.8
9775.23,7621.8,6219.8
10383.22,7566.38,6626.92
10602.57,7538.1,6737.79
10589.92,7592.46,6731.54
10357.41,7546.74,6633.98
9967.05,7526.96,6364.34
10008.62,7608.78,6390.67
9895.34,7641.03,6343.4
9906.81,7672.52,6373.87
9947.86,7664.89,6405.12
9977.36,7605.01,6347.96
10143.13,7522.76,6427.66
10110.47,7509.31,6440.72
10260.63,7621.13,6498.12
10271.86,7636.44,6554.98
10288.56,7646.79,6554.12
10665.42,7666.14,6798.67
10535.55,7644.95,6742.27
10579.17,7571.5,6779.35
10659.45,7724.28,6800.56
10864.62,7689.82,6931.07
10615.67,7667.96,6704.92
10847.82,7549.23,6867.95
10758.74,7530.67,6798.5
11149.02,7514.05,6997.62
11255.68,7498.4,7035.52
11390.34,7397.06,7115.86
11564.8,7513.23,7274.1
11552.91,7646.52,7324.99
11192.38,7706.19,7039.69
11348.46,7617.72,7123.59
10823.01,7673.73,6769.68
11071.95,7655.57,6957.31
10870.1,7634.31,6799.25
10810.64,7717.5,6744.52
10890.52,7636.77,6810.8
11147.89,7602.46,6986.69
11128.38,7556.94,6984.67
11125.33,7558.12,7035.68
11381.2,7471.05,7239.2
11447.51,7427.9,7295.64
11189.64,7469.85,7138.24
10986.4,7496.39,7011.24
11279.19,7443.37,7140.55
11491.72,7474.08,7309.88
11740.52,7344.69,7461.32
11404.38,7320.91,7225.57
10982.87,7366.08,7026.38
10977.13,7326.02,7024.23
10673.09,7323.91,6798.53
10532.45,7238.57,6723.76
10272.61,7289.1,6556.05
10276.23,7180.55,6552.2
9895.23,7158.67,6277.54
9612.24,7143.01,6074.48
9798.2,7146.44,6176.68
10253,7103.39,6421.9
10142.37,7197.93,6321.08
10318.27,7109.63,6434.58
10094.38,7126.2,6243.62
10063.57,6951.32,6198.33
9885.59,6951.53,6062.95
9774.28,6989.42,5981.33
9761.59,6915.71,5983.22
10185.92,6962.68,6208.25
10333.55,6983.54,6272.78
10356.26,7040.04,6270.35
10598.27,6991.12,6419.15
10864.3,6936.51,6576.05
10699.34,6837.83,6461.45
10684.52,6817.44,6475.36
10472.69,6740.43,6298.89
10518.69,6781.65,6303.51
10414.48,6785.72,6201.05
9989.87,6900.5,5985.06
9948.84,6822.76,5944.48
9776.95,6901.48,5869.21
9776.17,6865.69,5874.5
9758.5,6775.29,5843.86
9715.86,6812.77,5815.67
9360.82,6725.51,5571.46
9161.02,6658,5435.56
9002.49,6612.09,5348.09
8979.54,6624.49,5356.48
8885.02,6570.79,5278.88
8715.46,6628.31,5167.54
8413.97,6562.94,4989.3
8516.4,6575,5088.86
8442.05,6582.34,5072.72
8171.03,6531.36,4916.52
8373.43,6510.42,5060.08
8446.22,6480,5058.72
8255.52,6523.42,4961.89
8462.57,6595.82,5106.68
8336.15,6540.86,4979.92
8335.17,6590.04,4992.85
8309.92,6586.05,4954.39
8546.52,6489.99,5076.59
8182.42,6446,4836.45
8419.7,6471.43,4958.33
8298.63,6478.92,4882.13
8365.9,6361.9,4920.03
8648.77,6398.3,5066.52
8733.35,6436.48,5101.16
8578.06,6419.68,4977.91
8850.5,6383.8,5148.79
8810.78,6479.96,5099.04
9013.9,6474.59,5251
9211.22,6473.83,5371.61
9199.79,6418.12,5367.69
8892.72,6350.09,5160.37
9116.7,6268.95,5280.19
9609.28,6244.74,5545.7
9787.67,6316.29,5652.54
9486.58,6414.93,5502.83
9362.01,6516.58,5451.7
