P1,P2
16787.13,7927.99
15844.69,8016.22
15479.32,7966.57
15562.34,7927.77
15264.7,7864.87
15349.08,7823.02
15591.1,7879.64
15502.72,7905.87
16015.18,7963.66
15650.27,7940.61
16508.02,7961.7
15894.06,7974.87
15887.73,7900.68
14880.39,8002.74
14890.17,8011.87
14761.21,8059.61
14297.13,8118.1
13239.59,8114.96
12921.07,8097.27
13168.51,8146.51
13038.72,8087.42
13063.59,8201.79
12891.36,8174.36
12712.84,8283.28
12231.87,8396.75
12928.62,8403.56
12815.68,8445.39
12397.13,8374.24
12858.32,8396.54
13279.61,8463.65
13840.41,8470.18
14677.7,8442.3
13266.88,8403.78
13625.51,8401.71
14273.16,8460.55
14501.29,8432.37
13816.87,8425.53
13619.8,8355.3
12840.45,8384.35
12279.05,8459.07
11954.62,8552.5
13024.45,8609.27
13073.98,8481.41
13497.15,8519.6
13152.52,8553.05
13234.56,8528.84
12922.87,8539.73
12437.74,8487.8
12154.49,8528.66
12459.54,8509.2
12323.52,8419.81
12732.23,8396.26
12824.64,8478.65
12801.14,8456.58
12398.88,8501.89
11911.31,8559.78
12320.1,8560.06
12367.97,8539.33
12847.34,8509.35
12450.04,8550.43
11985.6,8490.58
11320.17,8505.01
10673.73,8488.72
10346.02,8365.29
10757.29,8266.3
11242.25,8334.19
11313.69,8320.26
11362.73,8373.68
11584.68,8497.04
11780.47,8612.63
11753.06,8670.2
11231.74,8700.55
11532.47,8686.39
11410.01,8792.8
11278.03,8838.11
11095.53,8753.67
10447.37,8742.26
10119.17,8613.06
10876.25,8597.63
10955.98,8411.85
10064.5,8537.23
10042.36,8474.56
10066.21,8436.09
10329.2,8422.46
10107.25,8466.87
10214.78,8513.56
10443.06,8551.27
11198.42,8514.79
11579.29,8431.41
10907.95,8405.91
11321.01,8423.04
11527.71,8374.89
11400.27,8370.87
11738.45,8305.96
11315.84,8305.48
11539.38,8312.65
11653.32,8304.83
12021.16,8296.31
11307.93,8386.04
10707,8432.98
11588.69,8500.83
11769.58,8441.89
12076.05,8452.34
11946.6,8521.3
12071.32,8517.73
11058.57,8391.45
11465.39,8416.83
10964.06,8287.36
10868.69,8223.19
10555.38,8322.25
10642.2,8370.78
10264.67,8451.44
10025.66,8474.39
10116.09,8466.8
10251.6,8408.06
10477.98,8508.88
10088.55,8512.11
9840.19,8465
10146.11,8520.06
10035.52,8588.51
10424.81,8713.36
10207.2,8665.53
10628.13,8636.69
11140.69,8608.28
11432.3,8584.23
11649.5,8562
12270.86,8544.84
12229.05,8625.4
11631.43,8581.49
11527.71,8557.66
10736.44,8595.94
10965.14,8661.43
11027.91,8613.75
11071.25,8582.77
11285.37,8613.58
10923.24,8672.3
11038.43,8657.15
10976.39,8574.74
10659.94,8683.04
10040.59,8788.89
10264.46,8732.08
10227.81,8727.18
10740.37,8606.27
10439.76,8650.72
10816.5,8768.7
10924,8634.04
10650.2,8564.43
10637.13,8511.01
11004.41,8458.49
11189.16,8311.39
11064.17,8354.37
11029.06,8233.9
11137.11,8231.81
11396.15,8276.09
10849.48,8262.17
11064.72,8319.63
10806.94,8317.97
11288.22,8279.18
10782.54,8316.85
10557.87,8291.91
11099.46,8390.3
11316.7,8389.09
