P1,P2
4165.53,5847.96
4082.9,5825.26
4202.65,5789.91
4035.55,5804.49
3852.65,5748.38
367.982,5674.39
3401.59,5642.05
3489.4,5691.71
3547.95,5697.47
3624.62,5676.1
3843.17,5703.62
4092.36,5689.41
4300.74,5684.97
3997.14,5687.67
3823.75,5726.68
3710.18,5776.24
3590.53,5829.98
3617.25,5874.12
3618.66,5889.17
3580.69,5970
3503.36,6076.02
3550.41,6160.77
3470.47,6146.17
3620.71,6084.77
3784.93,6095.88
3918.59,6066.92
3855.47,6080.33
3871.38,6055.29
3984.7,6095.41
4021.58,6192.38
3851.14,6247.38
4139.8,6289.16
3978.29,6291.18
3853.14,6398.8
3767.67,6393.79
3938.43,6471.49
3986.36,6566.44
3836.15,6577.13
3958.36,6382.78
4042.98,6353.09
4078.2,6388.94
4031.75,6297.13
4202.87,6205.87
4240.65,6269.93
4008.7,6080.51
3963.63,6101.98
3954.22,6080.46
3847.81,6034.41
3771.45,6038.44
3731.15,6041.53
3534.36,6054.15
3386.48,6060
3504.21,6036.47
3483.4,6047.4
3590.04,6103.62
3620.54,6133.65
3806.24,6199.67
3832.79,6186.08
3756.85,6212.89
3645.22,6235.32
3574.5,6203.22
3469.88,6168.27
3350.7,6248.24
3231.69,6205.35
3275.82,6253.01
3294.35,6239.64
3275.56,6188.39
3265.02,6115.32
3524.53,6052.57
3592.27,5949.37
3363.95,5894.93
3458.27,5951.61
3357.93,5918.41
3504.59,6009.87
3682.73,5999.43
3695.68,5948.68
3424.27,5933.77
3249.05,5905.52
3127.01,5885.37
3168.74,5887.94
3228.84,5891.27
3038.21,5920.6
3122.35,5941.77
3195.1,5971.9
3424.72,5977.12
3485.32,5946.35
3377,5963.76
3451.62,5979.52
3397.17,5964.3
3312.64,5949.88
3282.85,5990.07
3342.48,6043.01
3523.71,6048.01
3352.4,6031.81
3530.22,6097.7
3586.44,6039.7
3648.04,5995.46
