マクロ経済不確実性指数（日本）,
・本データを著作物にご使用される際は下記論文を引用してください。,
　篠原武史・奥田達志・中島上智 (2021) 「マクロ経済に関する不確実性指標の特性について」『経済研究』第72巻、第3号、246-267頁,
・上記論文の著者は日本銀行の職員を含みますが、本データは日本銀行と一切、関係がなく、中島が研究活動の一環で推計、公表しているものです。,
・数か月ごとに本データをアップデートしますが、推計上、過去の値についても更新されます。,
【2022年5月25日時点推計値】,
年月,指数
201005,0.7186
201006,0.70072
201007,0.70195
201008,0.70749
201009,0.73168
201010,0.75852
201011,0.74745
201012,0.76454
201101,0.78799
201102,0.85472
201103,1.00184
201104,0.93073
201105,0.89562
201106,0.86346
201107,0.81196
201108,0.78665
201109,0.76983
201110,0.74113
201111,0.73395
201112,0.72191
201201,0.71571
201202,0.71878
201203,0.71133
201204,0.70705
201205,0.69237
201206,0.66248
201207,0.65638
201208,0.66216
201209,0.67242
201210,0.66536
201211,0.65333
201212,0.65304
201301,0.65768
201302,0.6548
201303,0.65507
201304,0.6488
201305,0.64716
201306,0.64796
201307,0.6358
201308,0.62232
201309,0.61861
201310,0.61515
201311,0.62454
201312,0.643
201401,0.68117
201402,0.72485
201403,0.79139
201404,0.83194
201405,0.74972
201406,0.71865
201407,0.68736
201408,0.66614
201409,0.66255
201410,0.6751
201411,0.68607
201412,0.69957
201501,0.74728
201502,0.76159
201503,0.73881
201504,0.69465
201505,0.66917
201506,0.65223
201507,0.63924
201508,0.63824
201509,0.65046
201510,0.64277
201511,0.64483
201512,0.6439
201601,0.66095
201602,0.64803
201603,0.63761
201604,0.63257
201605,0.62571
201606,0.62019
201607,0.62106
201608,0.62338
201609,0.60973
201610,0.61118
201611,0.61665
201612,0.63415
201701,0.65229
201702,0.65084
201703,0.64049
201704,0.62708
201705,0.6171
201706,0.60499
201707,0.59696
201708,0.61155
201709,0.61996
201710,0.63222
201711,0.63184
201712,0.64703
201801,0.66321
201802,0.64919
201803,0.63461
201804,0.62541
201805,0.60975
201806,0.60636
201807,0.61194
201808,0.62697
201809,0.64044
201810,0.64323
201811,0.63524
201812,0.65099
201901,0.65292
201902,0.64894
201903,0.62902
201904,0.62726
201905,0.64491
201906,0.6555
201907,0.67256
201908,0.69155
201909,0.73224
201910,0.76092
201911,0.73611
201912,0.74111
202001,0.78619
202002,0.84116
202003,0.92798
202004,1.02424
202005,0.93617
202006,0.90822
202007,0.84865
202008,0.79331
202009,0.77041
202010,0.75685
202011,0.7387
202012,0.73235
202101,0.75181
202102,0.74313
202103,0.74685
202104,0.77151
202105,0.78254
